#      face_x        face_y        face_z
         0.85      0.706222      0.993791
     0.857447      0.731354      0.992532
         0.25      0.794231      0.955039
      0.55064      0.756471      0.993873
         0.55      0.793743      0.993732
         0.69      0.756248       0.95626
         0.69      0.793752      0.956241
         0.69      0.755854      0.991194
         0.25      0.843518      0.955185
         0.39       0.84391      0.955572
     0.552022      0.840972      0.958465
         0.55      0.806202      0.993666
     0.557089       0.84393      0.988055
     0.556713      0.838653      0.995039
         0.69      0.806226      0.956258
     0.688489      0.807309      0.992366
     0.687252      0.841759       0.99217
     0.857152      0.839885      0.998371
     0.388547       0.85571      0.956271
     0.250985      0.943709      0.954869
     0.441634      0.953074      0.995528
     0.912808      0.943529      0.955689
         0.25      0.993697      0.955793
         0.31      0.993779      0.993768
     0.611254      0.994232       0.95633
     0.741646      0.958413      0.984797
     0.794796      0.995084      0.996827
     0.805204      0.995084      0.996827
     0.312883       1.04205      0.959096
         0.31       1.00626      0.993735
         0.31       1.04372      0.993806
         0.61       1.04389      0.955775
         0.31       1.05622        0.9939
         0.31       1.09326      0.993809
     0.443097       1.06427       0.95569
         0.61       1.09375      0.956248
     0.610007       1.09381      0.992969
     0.911427       1.09522      0.995435
     0.311422       1.10467      0.994721
         0.61       1.14374       0.95627
     0.611241       1.10543      0.992041
         0.61       1.14379      0.993703
      0.91049       1.14424      0.956033
     0.912751       1.10568      0.996228
         0.91       1.14379      0.993797
     0.441591        1.1818      0.953574
         0.61       1.15599      0.993663
         0.91       1.15599      0.993838
      0.38697        0.6444       1.00614
     0.389993      0.644308       1.04384
         0.69      0.643873       1.00648
         0.69      0.644073       1.04357
         0.85      0.643829       1.00588
     0.388181      0.656116       1.00641
         0.39      0.656295       1.04376
     0.389266      0.693008       1.04402
     0.689705      0.656579       1.00612
         0.69       0.69375       1.00625
         0.69      0.656277       1.04372
         0.85      0.693751       1.00625
         0.85      0.693792       1.04372
     0.856315      0.661817       1.04363
         0.39       0.70612       1.04431
     0.504927      0.753716       1.04288
         0.69       0.70623       1.00624
     0.687392       0.70621       1.04187
         0.85      0.706256       1.04374
         0.85       0.74375       1.04375
      0.49499      0.793761        1.0151
      0.50501      0.793761        1.0151
         0.55      0.793622       1.00598
         0.85       0.75625       1.04375
         0.85      0.793752       1.04376
     0.857762      0.799175       1.01162
         0.39      0.843217        1.0439
     0.494977      0.805732       1.01536
     0.558433      0.834351       1.00346
     0.851936      0.841878       1.00771
         0.85      0.806245       1.04375
     0.804155      0.846658       1.05513
     0.851871       0.84092       1.04232
     0.387354        0.8549       1.04396
     0.611496      0.942777       1.04559
         0.31      0.993692       1.00601
